Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
PM SHRI KENDRIYA VIDYALYA,1600033,PUNJAB,KAPURTHALA,R C F HUSSAIN PUR (KPT) KAPURTHALA PUNJAB,144602,http://www.kvvidyanagar.o,1987,01 Apr 1991,ROSY SHARMA,Male,M.Com B.Ed,,06,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA NO 5,1600034,PUNJAB,BATHINDA,BHATINDA CANTT PUNJAB,151004,http://www.kvvidyanagar.o,1987,01 Apr 1991,SUMATI DOGRA,Male,M.A.,,13,10,Senior Secondary Level,,"From :
                                 01/04/2019 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600035,PUNJAB,SAS NAGAR,AMMUNITION DEPOT DAPPAR DISTT MOHALI PUNJAB,140506,http://www.kvnehu.g,1987,01 Apr 1991,Sanjay Kumar Mishra,Male,M Sc. Physics  MEd PGD in Personal Management,,15,22,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",kendriya vidyalaya sangathan,
PM SHRI KENDRIYA VIDYALAYA NO 3,1600036,PUNJAB,PATIALA,TARAPORE ENCLAVE PATIALA CANTT PUNJAB,147001,,1987,01 Apr 1991,BALWANT SINGH,Female,"M.Com ,B.Ed. , PDBACA",,09,19,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",KENDRIYA VIDYALAYA SANGATHAN,
PM SHRI KENDRIYA VIDYALAYA,1600037,PUNJAB,GURDASPUR,DERA BABA NANAK SHIKAR DISTT GURDASPUR PUNJAB,143604,,1997,25 Jan 2009,SURENDER KUMAR,,MSC,,4,16,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",KENDRIYA VIDYALAYA SANGATHAN,
KENDRIYA VIDYALAYA NO-4,1600038,PUNJAB,JALANDHAR,"HARDAYAL ROAD, JALANDHAR CANTT, PUNJAB",144005,http://www.kvnhpclok.g,1997,25 Jan 2009,Karambir Singh,Male,"M.Com, B.Ed",,9,13,Senior Secondary Level,,"From :
                                 01/04/2026 
                                 To :
                                 31/03/2031",kendriya vidyalaya sangathan,
PM SHRI KENDRIYA VIDYALAYA,1600039,PUNJAB,FEROZEPUR,BSF FALIYN WALA MUKTSAR ROAD JALALABAD (W) DISTT FEROZPUR PUNJAB,152024,http://www.kv2kota.g,1997,01 Apr 1991,Satpal Kulhari,Male,MCA B.ed,,4,11,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",K V S,
PM SHRI KENDRIYA VIDYALAYA NO.2,1600040,PUNJAB,KAPURTHALA,"RCF, HUSSAINPUR, KAPURTHALA, PUNJAB-144602",144602,,2007,24 Jun 2006,KULWINDER KUMAR GHERRA,Male,MA BEd,,10,32,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600041,PUNJAB,JALANDHAR,"CRPF, SARAI KHAS, JALANDHAR, PUNJAB",144801,,2010,01 Apr 1991,BHUSHAN KUMAR,,"M. Sc. , M. Phil. Ph. D, B. Ed",,11,17,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600042,PUNJAB,SANGRUR,"S.L.I.E.T. LONGOWAL, DISTT. SANGRUR, PUNJAB",148106,,2013,01 Apr 2005,HARI HAR YADAV,Male,Msc B Ed,,06,20,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",kendriya vidyalaya sangathan,
PM SHRI KENDRIYA VIDYALAYA,1600043,PUNJAB,FATEHGARH SAHIB,"NEAR BABA MOTI RAM MEHRA COMMEMRATIVE GATE, REONA UCHA, PO TALANIA, FATEHGARH SAHIB, PUNJAB",140406,,2010,01 Apr 1991,ANUJ KUMAR,Male,"M.A, B.Ed.",,7,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2029",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600044,PUNJAB,SANGRUR,"UBHAWAL, DISTT. SANGRUR, PUNJAB",148001,,2010,01 Apr 1991,ANJANA GANGWAR,Male,M.SC. PHYSICS   BEd. M.TECH,,5,20,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600045,PUNJAB,TARN TARAN,"BSF CAMPUS, AMARKOT, TEH. PATTI, DISTT. TARN TARAN, PUNJAB",143419,,2010,01 Apr 1991,P L MEENA,,MA B.ed,,23,22,Secondary Level,,"From :
                                01/04/2022  
                                 To :
                                31/03/2027",Kendriya Vidyalaya Sangathan,
PM SHRI KENDRIYA VIDYALAYA,1600046,PUNJAB,SAS NAGAR,"SECTOR-80, SAS NAGAR MOHALI, PUNJAB- 140 308.",160059,,2010,01 Apr 1991,JAGESHWAR,Male,MA,,6,10,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600047,PUNJAB,FEROZEPUR,"K.M.S. WALA, B.S.F., FEROZEPUR, PUNJAB",152003,,2010,01 Apr 1991,HUSNA BANO,,"M.A ENGLISH, ECONOMICS, B.Ed, M.ed.",,14,37,Secondary Level,,"From :
                                01/04/2022  
                                 To :
                                31/03/2027",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600048,PUNJAB,TARN TARAN,"BSF CAMPUS, BHILHIWIND, DISTT. TARN TARAN, PUNJAB",143303,,2010,01 Apr 1991,VANDANA TYAGI,,MCA,,0,25,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Kendriya Vidyalaya Sangathan,
KENDRIYA VIDYALAYA,1600049,PUNJAB,FAZILKA,"B.S.F. RAMPURA, FAZILKA, DISTT. FAZILKA, PUNJAB",152123,,2010,01 Apr 1991,SUNIL KUMAR,,"B.ED, POST GRADUATE",,8,20,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Kendriya Vidyalaya Sangathan,
PM SHRI KENDRIYA VIDYALAYA,1600050,PUNJAB,HOSHIARPUR,"GAJJ BLOCK BHUNGA, DISTT- HOSHIARPUR, PUNJAB",144210,,2011,01 Apr 1991,OM PRAKASH,,M Com MA Eng MA Eco BEd,,11,8,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",kendriya vidyalaya sangathan,
KENDRIYA VIDYALAYA KHANPUR,1600150,PUNJAB,RUPNAGAR,"GURU GOIBD SINGH SUPER THERMAL PLANT, RUPNAGAR",140001,https://khanpur.kvs.ac.in/,2017,,VIBHA RANI,,MA B.ED,,5,26,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KENDRIYA VIDYAOLAYA SANGATHAN,
KENDRIYA VIDYLAYA I I T ROPAR,1600151,PUNJAB,RUPNAGAR,"BARA PHOOL, JALANDHAR ROAD, MAIN CAMPUS IIT ROPAR",140001,https://iitropar.kvs.ac.in,2021,,Pradeep Singh,,MA Phil B Ed,,4,16,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KVS,
SHIVALIK MODEL SR SEC SCHOOL,1620001,PUNJAB,RUPNAGAR,NAYA NANGAL DISTT ROPAR PUNJAB,140126,,1984,01 Jul 2000,KULJIT KAUR SAINI,Female,"M.Sc., B.Ed",,2,27,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2029",DEPTT OF EDUCATION (PUNJAB),
GOVT. MODEL SCHOOL,1620002,PUNJAB,FEROZEPUR,"CHAK MOCHAN WALA, DISTT. FEROZEPUR, PUNJAB",152022,,2010,01 Apr 1991,JASBIR LAL,,,,,,Senior Secondary Level,,"From :
                                 01/04/2010 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620003,PUNJAB,FEROZEPUR,"GUDDARDHANDI, FEROZEPUR, PUNJAB",152022,,2010,01 Apr 1991,Jasbir lal,,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620004,PUNJAB,BATHINDA,"NATHEHA, BLOCK TALWANDI, SAKO, DISTT. BHATINDA",481996,,2010,,Munish Mohan sharma,Male,MA.HINDI(Bed),,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620005,PUNJAB,FEROZEPUR,"USMAN WALA, P.O. ARIBKE, BLOCK FEROZEPUR",152022,,2010,01 Apr 1991,Sarbjit Singh,Male,"MSc(MATHS), BeD",,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620006,PUNJAB,MANSA,"HIRON KALAN, BLOCK BHIKHI, DISTT. MANSA",151504,,2010,01 Apr 1991,Rajesh Khanna,Male,"MA, MEd",,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620007,PUNJAB,MANSA,"DATEWAS, DISTT MANSA, BLOCK BUDHLADA",151504,,2010,01 Apr 1991,VARINDER SINGH,Male,"MA(ENG), BEd",,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620008,PUNJAB,MANSA,"KULRIAN, BLOCK- II, BUDHLADDA",151504,,2010,01 Apr 1991,DR OM PARKASH SETIA,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620009,PUNJAB,FEROZEPUR,"VILLAGE DHRANGWALA, BLOCK - ABOHAR, DISTT FEROZEPUR, PUNJAB",152022,,2010,01 Apr 1991,GURBINDER SINGH,Female,MA. BEd,,,,Senior Secondary Level,,"From :
                                 01/04/2020 
                                 To :
                                 31/03/2021",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620010,PUNJAB,FEROZEPUR,"GIDDERNWALI, BLOCK - KHUHIAN SARVER",152022,,2010,01 Apr 1991,RAJNISH,Male,"MA, MEd. UGC, NET",,,,Senior Secondary Level,,"From :
                                 01/04/2016 
                                 To :
                                 31/03/2021",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620011,PUNJAB,BATHINDA,"RAM NAGAR, MANDI, PHUL, WEST/MAUR, BATHINDA, PUNJAB",110053,,2010,01 Apr 1991,MONA,Male,"MSc(MATHS), BEd",,,,Senior Secondary Level,,"From :
                                 01/04/2015 
                                 To :
                                 31/03/2016",DIRECTORATE OF EDUCATION,
GOVT. MODEL SCHOOL,1620012,PUNJAB,FEROZEPUR,"KAURIAN WALI FAZILKA, DISTT FEROZEPUR, PUNJAB",152123,,2010,01 Apr 1991,ASHWANI AHUJA,Female,"BA, BEd",,,,Senior Secondary Level,,"From :
                                 01/04/2015 
                                 To :
                                 31/03/2021",PUNJAB EDUCATION DEV. BOARD CHANDIGARH,
GOVT. MODEL SCHOOL,1620013,PUNJAB,BATHINDA,"RAI - KE- KALAN, BLOCK - SANGAT DISTT. BHATINDA",151401,,2010,01 Apr 1991,Pooja Rani,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2015 
                                 To :
                                 31/03/2019",navodaya vidyalaya samiti,
GOVT. ADARSH SCHOOL,1620014,PUNJAB,FEROZEPUR,"BUKAN KHAN WALA, P.O. DHIRA PATRA, TEHSIL - FEROZEPUR",152003,,2010,01 Apr 1991,NEELAM RANI,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. ADARSH SCHOOL,1620015,PUNJAB,BATHINDA,"CANAL COLONY, BHATINDA",151001,,2010,01 Apr 1991,Gurpreet Kaur,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. ADARSH SCHOOL,1620016,PUNJAB,GURDASPUR,VILL. & P.O. BHILKARI WALA,151001,,2010,01 Apr 1991,NEELAM KUMARI,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620017,PUNJAB,SANGRUR,"MANDVI, ANNDANA, SANGRUR",151001,www.ssapunjab.org,2010,01 Apr 1991,RITU SHARMA,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2016 
                                 To :
                                 31/03/2020",NAVODAYA VIDYALAYA SAMITI,
GOVT. MODEL SCHOOL,1620018,PUNJAB,SANGRUR,"SHERON, VILLAGE SHERON, SHAHPUR ROAD, BLOCK SAUNAM",121001,,2010,01 Apr 1991,RANJU SHARMA,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",KENDRIYA VIDYALAYA SANGATHAN,
GOVT. MODEL SEC SCHOOL,1620019,PUNJAB,TARN TARAN,"VALTOHA, TEH. PATTI, DISTT. TARAN TARAN",121001,,2010,01 Apr 1991,Meenam Shikha,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2015 
                                 To :
                                 31/03/2018",KENDRIYA VIDYALAYA SANGATHAN,
GOVT. ADARSH SEC. SCHOOL,1620020,PUNJAB,TARN TARAN,BALER KHURD,121001,,2010,01 Apr 1991,Poonam Sharma,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",KENDRIYA VIDYALAYA SANGATHAN,
GOVT. MODEL SCHOOL,1620021,PUNJAB,SANGRUR,"LEHAL KALAN, LEHRAGAGA",148001,,2010,01 Apr 1991,PARVINDER KAUR,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2016 
                                 To :
                                 31/03/2020",DIRECTORATE OF EDUCATION,
GOVT. MODEL SCHOOL,1620022,PUNJAB,PATIALA,"CHUNAGRA, P.O. HARYOU KHURD, TEH PATRAN",148001,,2010,01 Apr 1991,HARISH KUMAR,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2015 
                                 To :
                                 31/03/2020",DIR OF EDUCATION,
GOVT. MODEL SCHOOL,1620023,PUNJAB,SRI MUKTSAR SAHIB,"BHAGSAR, DISTT, SHRI MUKTSAR SAHIB, PUNJAB",148001,,2010,01 Apr 1991,SURENDRA NAGAR,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",KENDRIYA VIDYALAYA SANGATHAN,
GOVT. MODEL SCHOOL,1620024,PUNJAB,SRI MUKTSAR SAHIB,"PHULLUKHERA, BLOCK - LAMBI",152114,,2010,01 Apr 1991,ONAMDEEP SINGH,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",KENDRIYA VIDYALAYA SANGATHAN,
GOVT. MODEL SCHOOL SENIOR SECONDARY SCHOOL,1620025,PUNJAB,MANSA,"MIAN JHUNIR BLOCK 01, MANSA",151505,,2010,01 Apr 1991,Talwinder Singh,Male,,,,,Senior Secondary Level,,"From :
                                 01/04/2015 
                                 To :
                                 31/03/2016",KENDRIYA VIDYALAYA SANGATHAN,
GOVT. MODEL SCHOOL,1620026,PUNJAB,MANSA,"JATANA KALAN, MANSA, PUNJAB",151505,,2010,01 Apr 1991,raj rani,Female,,,,,Senior Secondary Level,,"From :
                                 01/04/2013 
                                 To :
                                 31/03/2015",KENDRIYA VIDYALAYA SANGATHAN,
